Type,Name,Korea,소환 가능 구역,효과 범위,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,설명
Road,Road,도로,"마을, 방어구역",1X1,,,,,,건물 간 재료들의 연결 범위를 늘려줌
,,,,,,,,,,
,,,,,초당 재료 생산(공장만),결과물,결과물 최대 보유량,필요재료,필요재료 최대 수용량,
Factory,HammerFactory,망치 공장,마을,1X1,1,망치,5,"나무, 쇠",5,나무와 쇠로 망치를 만드는 공장
Factory,StoneFactory,돌 공장,방어구역,1X1,1,동그란 돌,5,돌,5,돌을 동그란돌로 만드는 공장
Factory,ArrowFactory,화살 공장,방어구역,1X1,1,화살,5,쇠,5,쇠를 화살로 만드는 공장
Factory,AmmoFactory,총알 공장,방어구역,1X1,1,총알,5,"화살, 동그란 돌",5,"화살, 동그란 돌을 총알로 만드는 공장"
Factory,SlowEffect,냉기 제련소,방어구역,1X1,1,,,,5,투사체에 슬로우 효과 50%를 부여
Factory,DamageEffect,화력 제련소,방어구역,1X1,1,,,,5,투사체에 공격력 50 증가
,,,,,,,,,,
,,,,,생산 증가량(공장 버프만),,,,,
FactoryBuff,FactoryBuff,공장 가속소,방어구역,1X1,1,,,,,
,,,,,,,,,,
,,,,,타워 공격력 증가량(타워 버프만),,,,,
TowerBuff,TowerBuff,타워 강화소,타워 구역,1X1,0.5,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,공격 범위(타워만),공격속도-초당 공격수(타워만),공격력(타워만),결과물 최대 보유량,사용 총알 타입(타워만),,
Tower,Slingshot,새총,타워 구역,6,0.7,50,3,동그란 돌,,동그란 돌을 사용하는 타워
Tower,Archer,궁수,타워 구역,10,1.2,35,5,화살,,화살 사용하는 타워
Tower,Gun,총,타워 구역,15,2,50,10,총알,,총알 사용하는 타워
